comuna;cut_comuna;id;año;variable;valor;medida;estandar
ALTO HOSPICIO;1107;EA_33;2022;Porcentaje de la superficie de campamentos respecto del área urbana;6,67443926271375e+00;Porcentaje;Sin estándar
ALTO HOSPICIO;1107;IS_40;2018;Porcentaje de manzanas con veredas con buena calidad de pavimento;2,80300000000000e+01;Porcentaje;100% de veredas en buen estado
ALTO HOSPICIO;1107;IG_90;2022;Porcentaje de participación en las elecciones municipales por comuna;3,26022868633165e+01;Porcentaje;Sin estándar
ALTO HOSPICIO;1107;BPU_28b;2019;Porcentaje de población atendida por el sistema de parques públicos;8,27900000000000e+01;Porcentaje;Sin estándar
ALTO HOSPICIO;1107;BPU_28a;2019;Porcentaje de población atendida por el sistema de plazas públicas;7,71300000000000e+01;Porcentaje;Sin estándar
ALTO HOSPICIO;1107;EA_202;2018;Porcentaje de población atendida por la red de ciclovías;4,18200000000000e+01;Porcentaje;Sin estándar
ALTO HOSPICIO;1107;EA_36;2019;Porcentaje de residuos municipales valorizados;0,00000000000000e+00;Porcentaje;Sin estándar
ALTO HOSPICIO;1107;DE_204;2021;Porcentaje de viajes originados  inferiores a 5 kilómetros;8,36372064189108e+01;Porcentaje;Sin estándar
ALTO HOSPICIO;1107;IS_34;2018;Porcentaje de viviendas con situación de allegamiento externo;3,19000000000000e+00;Porcentaje;Sin estándar
ALTO HOSPICIO;1107;IS_33;2018;Porcentaje de viviendas en situación de hacinamiento;1,53200000000000e+01;Porcentaje;Sin estándar
ALTO HOSPICIO;1107;IS_31;2018;Porcentaje de viviendas particulares que requieren mejoras de materialidad y/o servicios básicos;2,32300000000000e+01;Porcentaje;Hasta 10%
ALTO HOSPICIO;1107;IG_200;2022;Porcentaje de votantes de nacionalidad extranjera en las elecciones municipales;4,61007735730713e+00;Porcentaje;Sin estándar
ALTO HOSPICIO;1107;DE_25;2019;Promedio de intersecciones relevantes cada 1,44 km²;2,58100000000000e+01;Número de intersecciones promedio.;Sin estándar
ALTO HOSPICIO;1107;DE_200;2019;Proporción de viajes con una duración mayor o igual a 45 minutos;9,45000000000000e+00;Porcentaje;Sin estándar
ALTO HOSPICIO;1107;DE_201;2019;Proporción de viajes de estudio y trabajo con una duración mayor o igual a 45 minutos;1,31800000000000e+01;Porcentaje;Sin estándar
ALTO HOSPICIO;1107;DE_203;2019;Proporción de viajes totales en transporte privado con una duración mayor o igual a 45 minutos;1,15300000000000e+01;Porcentaje;Sin estándar
ALTO HOSPICIO;1107;DE_202;2019;Proporción de viajes totales en transporte público con una duración mayor o igual a 45 minutos;1,98600000000000e+01;Porcentaje;Sin estándar
ALTO HOSPICIO;1107;BPU_4;2020;Razón entre disponibilidad efectiva de matrículas y demanda potencial por educación básica;1,26000000000000e+00;Relación (Matrículas / Población);Desde 1
ALTO HOSPICIO;1107;DE_33;2019;Relación entre el tiempo de viaje en hora punta respecto del tiempo de viaje fuera de hora punta;1,13000000000000e+00;Relación (Tiempo de viaje PPM / Tiempo de viaje PFP);Sin estándar
ALTO HOSPICIO;1107;IS_32;2018;Requerimiento de viviendas nuevas urbanas;4,97800000000000e+03;Número de viviendas;Sin estándar
ALTO HOSPICIO;1107;BPU_23;2018;Superficie de parques públicos por habitante que cumple estándar de distancia (3.000 metros);1,14000000000000e+00;m²/hab;Sin estándar
ALTO HOSPICIO;1107;BPU_21;2018;Superficie de plazas públicas por habitante que cumple estándar de distancia (400 metros);2,87000000000000e+00;m²/hab;Sin estándar
ALTO HOSPICIO;1107;BPU_29;2018;Superficie de áreas verdes públicas por habitante;3,29000000000000e+00;m²/hab;Desde 10 metros cuadrados / habitante
ALTO HOSPICIO;1107;BPU_24;2021;Tasa de conexiones residenciales fijas de internet por cada 1.000 viviendas particulares;4,42439932044333e+02;Relación (Conexiones residenciales fijas / 1.000 viviendas particulares);Sin estándar
ALTO HOSPICIO;1107;BPU_201;2021;Tasa de conexiones residenciales fijas de internet por cada 100 habitantes;1,22362680389305e+01;Relación (Conexiones residenciales fijas / 100 habs);Sin estándar
ALTO HOSPICIO;1107;IS_58b;2022;Tasa de víctimas de delitos contra la propiedad por casos policiales cada 10.000 habitantes;1,32300765683396e+02;Tasa;Sin estándar
ALTO HOSPICIO;1107;IS_58c;2022;Tasa de víctimas de delitos violencia intrafamiliar por casos policiales cada 10.000 habitantes;1,47454157347574e+02;Tasa;Sin estándar
ALTO HOSPICIO;1107;IS_58a;2022;Tasa de víctimas de delitos violentos por casos policiales cada 10.000 habitantes;1,69819980621143e+02;Tasa;Sin estándar
ALTO HOSPICIO;1107;DE_16;2018;Tiempo de viaje en hora punta mañana;4,50000000000000e+01;Min;Hasta 60 minutos
ALTO HOSPICIO;1107;DE_29;2018;Tiempo de viaje en transporte público en hora punta mañana;6,00000000000000e+01;Min;Hasta 60 minutos
ANGOL;9201;BPU_8;2018;Cantidad de jornadas diarias completas de trabajo de médicos, en salud primaria, por cada 10.000 habitantes;3,29200000000000e+01;Jornadas diarias / 10.000 habs;Sin estándar
ANGOL;9201;EA_34;2022;Cantidad de residuos eliminados con disposición final per cápita;7,63296713745298e-01;kg/hab/día;Hasta 1 kilogramo / habitante / día
ANGOL;9201;EA_22a;2021;Consumo de energía eléctrica per cápita no residencial;3,95153617936009e+02;Kilovatio hora (kWh)/hab/año;Sin estándar
ANGOL;9201;EA_22;2021;Consumo de energía eléctrica per cápita residencial;7,64738563484873e+02;Kilovatio hora (kWh)/hab/año;Sin estándar
ANGOL;9201;EA_33a;2022;Densidad de hogares en campamentos;2,80898876404494e+01;Densidad (Número hogares/ha);Sin estándar
ANGOL;9201;IS_5;2018;Diferencia entre el valor de suelo más alto y el más bajo entre las áreas homogéneas urbanas definidas por el Servicio de Impuestos Internos;2,00000000000000e-02;Índice;Sin estándar
ANGOL;9201;BPU_7;2020;Distancia a centros de salud primaria;1,03182000000000e+03;m;Hasta 1.500 metros de distancia
ANGOL;9201;BPU_3;2020;Distancia a establecimientos de educación básica;7,75230000000000e+02;m;Hasta 1.000 metros de distancia
ANGOL;9201;BPU_1;2020;Distancia a establecimientos de educación inicial;3,72440000000000e+02;m;Hasta 400 metros de distancia
ANGOL;9201;BPU_22;2019;Distancia a parques públicos;1,91304294200000e+03;m;Hasta 3.000 metros de distancia
ANGOL;9201;BPU_20;2019;Distancia a plazas públicas;3,41133747000000e+02;m;Hasta 400 metros de distancia
ANGOL;9201;BPU_13;2018;Distancia a una unidad o destacamento destinado al servicio operativo de Carabineros;2,62700000000000e+03;m;Sin estándar
ANGOL;9201;IS_91;2022;Indisponibilidad de suministro eléctrico - indicador SAIDI anual;1,22405779800000e+01;Número de horas promedio / año;Sin estándar
ANGOL;9201;DE_31;2021;Número de víctimas lesionadas en siniestros de tránsito por cada 100.000 habitantes;4,15711773170602e+02;Relación (Número víctimas lesionadas /100.000 habs);Sin estándar
ANGOL;9201;DE_28;2021;Número de víctimas mortales en siniestros de tránsito por cada 100.000 habitantes;1,24358222743342e+01;Relación (Número víctimas mortales /100.000 habs);Sin estándar
ANGOL;9201;DE_3;2022;Participación del Fondo Común Municipal (FCM) en el ingreso municipal total (descontadas las transferencias);6,83889886449325e+01;Porcentaje;Hasta 30%
ANGOL;9201;EA_53;2020;Porcentaje de  la superficie cubierta por vegetación total;4,67300000000000e+01;Porcentaje;Sin estándar
ANGOL;9201;EA_23;2018;Porcentaje de aporte de energía eléctrica proveniente de paneles solares domiciliarios;1,10911235718609e-02;Porcentaje;Sin estándar
ANGOL;9201;EA_93;2021;Porcentaje de cobertura de la red de ciclovía sobre la red vial;4,59000000000000e+00;Porcentaje;Sin estándar
ANGOL;9201;IP_6;2018;Porcentaje de inversión pública destinada a proyectos que tienen procesos de intervención de restauración de inmuebles patrimoniales sobre el total de inversión destinada a proyectos con RF;0,00000000000000e+00;Porcentaje;Sin estándar
ANGOL;9201;IG_1;2019;Porcentaje de la inversión nacional a escala comunal en la que participa el municipio como institución contratante;5,37000000000000e+00;Porcentaje;Sin estándar
ANGOL;9201;IS_37;2019;Porcentaje de la población en situación de pobreza multidimensional;2,12700000000000e+01;Porcentaje;Sin estándar
ANGOL;9201;IS_36;2019;Porcentaje de la población en situación de pobreza por ingresos;1,55600000000000e+01;Porcentaje;Sin estándar
ANGOL;9201;EA_53a;2020;Porcentaje de la superficie cubierta por vegetación densa;3,17000000000000e+00;Porcentaje;Sin estándar
ANGOL;9201;EA_33;2022;Porcentaje de la superficie de campamentos respecto del área urbana;5,72726629214206e-02;Porcentaje;Sin estándar
ANGOL;9201;IS_40;2018;Porcentaje de manzanas con veredas con buena calidad de pavimento;3,11500000000000e+01;Porcentaje;100% de veredas en buen estado
ANGOL;9201;IG_90;2022;Porcentaje de participación en las elecciones municipales por comuna;3,42809258119948e+01;Porcentaje;Sin estándar
ANGOL;9201;BPU_28b;2019;Porcentaje de población atendida por el sistema de parques públicos;8,67800000000000e+01;Porcentaje;Sin estándar
ANGOL;9201;BPU_28a;2019;Porcentaje de población atendida por el sistema de plazas públicas;7,50400000000000e+01;Porcentaje;Sin estándar
ANGOL;9201;EA_202;2018;Porcentaje de población atendida por la red de ciclovías;7,60300000000000e+01;Porcentaje;Sin estándar
ANGOL;9201;EA_36;2022;Porcentaje de residuos municipales valorizados;1,02978686594852e+00;Porcentaje;Sin estándar
ANGOL;9201;IS_34;2018;Porcentaje de viviendas con situación de allegamiento externo;1,22000000000000e+00;Porcentaje;Sin estándar
ANGOL;9201;IS_33;2018;Porcentaje de viviendas en situación de hacinamiento;6,46000000000000e+00;Porcentaje;Sin estándar
ANGOL;9201;IS_31;2018;Porcentaje de viviendas particulares que requieren mejoras de materialidad y/o servicios básicos;2,02400000000000e+01;Porcentaje;Hasta 10%
ANGOL;9201;IG_200;2022;Porcentaje de votantes de nacionalidad extranjera en las elecciones municipales;1,36147038801906e-01;Porcentaje;Sin estándar
ANGOL;9201;DE_25;2019;Promedio de intersecciones relevantes cada 1,44 km²;4,24000000000000e+00;Número de intersecciones promedio.;Sin estándar
ANGOL;9201;BPU_4;2020;Razón entre disponibilidad efectiva de matrículas y demanda potencial por educación básica;1,39000000000000e+00;Relación (Matrículas / Población);Desde 1
ANGOL;9201;IS_32;2018;Requerimiento de viviendas nuevas urbanas;8,19000000000000e+02;Número de viviendas;Sin estándar
ANGOL;9201;BPU_23;2018;Superficie de parques públicos por habitante que cumple estándar de distancia (3.000 metros);2,24000000000000e+00;m²/hab;Sin estándar
ANGOL;9201;BPU_21;2018;Superficie de plazas públicas por habitante que cumple estándar de distancia (400 metros);5,48000000000000e+00;m²/hab;Sin estándar
ANGOL;9201;BPU_29;2018;Superficie de áreas verdes públicas por habitante;6,04000000000000e+00;m²/hab;Desde 10 metros cuadrados / habitante
ANGOL;9201;BPU_24;2021;Tasa de conexiones residenciales fijas de internet por cada 1.000 viviendas particulares;6,22907441408359e+02;Relación (Conexiones residenciales fijas / 1.000 viviendas particulares);Sin estándar
ANGOL;9201;BPU_201;2021;Tasa de conexiones residenciales fijas de internet por cada 100 habitantes;2,04924585620636e+01;Relación (Conexiones residenciales fijas / 100 habs);Sin estándar
ANGOL;9201;IS_58b;2022;Tasa de víctimas de delitos contra la propiedad por casos policiales cada 10.000 habitantes;1,25362986047170e+02;Tasa;Sin estándar
ANGOL;9201;IS_58c;2022;Tasa de víctimas de delitos violencia intrafamiliar por casos policiales cada 10.000 habitantes;8,97726467880161e+01;Tasa;Sin estándar
ANGOL;9201;IS_58a;2022;Tasa de víctimas de delitos violentos por casos policiales cada 10.000 habitantes;7,41908067143565e+01;Tasa;Sin estándar
ANTOFAGASTA;2101;BPU_8;2018;Cantidad de jornadas diarias completas de trabajo de médicos, en salud primaria, por cada 10.000 habitantes;6,44000000000000e+00;Jornadas diarias / 10.000 habs;Sin estándar
ANTOFAGASTA;2101;BPU_17;2019;Cantidad de luminarias cada 50 metros lineales de red vial;4,90000000000000e-01;Relación (Número de luminarias / 50 m de red vial);Sin estándar
ANTOFAGASTA;2101;EA_34;2022;Cantidad de residuos eliminados con disposición final per cápita;2,09064553085254e+00;kg/hab/día;Hasta 1 kilogramo / habitante / día
ANTOFAGASTA;2101;EA_22a;2021;Consumo de energía eléctrica per cápita no residencial;4,28268143376250e+02;Kilovatio hora (kWh)/hab/año;Sin estándar
ANTOFAGASTA;2101;EA_22;2021;Consumo de energía eléctrica per cápita residencial;6,93286858560519e+02;Kilovatio hora (kWh)/hab/año;Sin estándar
ANTOFAGASTA;2101;EA_33a;2022;Densidad de hogares en campamentos;7,00117096018735e+01;Densidad (Número hogares/ha);Sin estándar
ANTOFAGASTA;2101;BPU_26;2018;Densidad de oferta planificada de transporte público mayor en periodo punta mañana, por persona;6,44000000000000e+00;Promedio per cápita de frecuencia de TP mayor;Sin estándar
ANTOFAGASTA;2101;BPU_26b;2018;Densidad de oferta planificada de transporte público menor en periodo punta mañana, por persona;5,56000000000000e+00;Promedio per cápita de frecuencia de TP menor;Sin estándar
ANTOFAGASTA;2101;IS_5;2018;Diferencia entre el valor de suelo más alto y el más bajo entre las áreas homogéneas urbanas definidas por el Servicio de Impuestos Internos;0,00000000000000e+00;Índice;Sin estándar
ANTOFAGASTA;2101;BPU_7;2020;Distancia a centros de salud primaria;1,24944000000000e+03;m;Hasta 1.500 metros de distancia
ANTOFAGASTA;2101;BPU_3;2020;Distancia a establecimientos de educación básica;7,16040000000000e+02;m;Hasta 1.000 metros de distancia
ANTOFAGASTA;2101;BPU_1;2020;Distancia a establecimientos de educación inicial;5,26430000000000e+02;m;Hasta 400 metros de distancia
ANTOFAGASTA;2101;BPU_25;2018;Distancia a paraderos de transporte público mayor;3,27000000000000e+02;m;400 metros de distancia máxima
ANTOFAGASTA;2101;BPU_22;2019;Distancia a parques públicos;1,37551843900000e+03;m;Hasta 3.000 metros de distancia
ANTOFAGASTA;2101;BPU_20;2019;Distancia a plazas públicas;4,27685044000000e+02;m;Hasta 400 metros de distancia
ANTOFAGASTA;2101;BPU_13;2018;Distancia a una unidad o destacamento destinado al servicio operativo de Carabineros;1,88700000000000e+03;m;Sin estándar
ANTOFAGASTA;2101;IS_91;2022;Indisponibilidad de suministro eléctrico - indicador SAIDI anual;1,72806229400000e+01;Número de horas promedio / año;Sin estándar
ANTOFAGASTA;2101;IG_91;2019;Monto total per cápita, en pesos, de fondos entregados por el municipio a la comunidad vía proyectos concursables para el mejoramiento urbano;0,00000000000000e+00;Relación (Monto per cápita en pesos / hab);Sin estándar
ANTOFAGASTA;2101;DE_31;2021;Número de víctimas lesionadas en siniestros de tránsito por cada 100.000 habitantes;2,13966872025676e+02;Relación (Número víctimas lesionadas /100.000 habs);Sin estándar
ANTOFAGASTA;2101;DE_28;2021;Número de víctimas mortales en siniestros de tránsito por cada 100.000 habitantes;7,83930350094072e+00;Relación (Número víctimas mortales /100.000 habs);Sin estándar
ANTOFAGASTA;2101;DE_3;2022;Participación del Fondo Común Municipal (FCM) en el ingreso municipal total (descontadas las transferencias);1,62602582954878e+01;Porcentaje;Hasta 30%
ANTOFAGASTA;2101;DE_102;2019;Partición modal del transporte público (número de viajes en transporte público respecto al número total de viajes);3,41000000000000e+01;Porcentaje;Sin estándar
ANTOFAGASTA;2101;DE_105;2019;Partición modal del transporte sustentable (suma de viajes en transporte público, caminata y bicicleta respecto al número total de viajes);6,33000000000000e+01;Porcentaje;Sin estándar
ANTOFAGASTA;2101;IS_201;2020;Población estimada de migrantes internacionales por comuna;6,16510000000000e+04;Porcentaje;Sin estándar
ANTOFAGASTA;2101;EA_53;2020;Porcentaje de  la superficie cubierta por vegetación total;3,88000000000000e+00;Porcentaje;Sin estándar
ANTOFAGASTA;2101;EA_23;2022;Porcentaje de aporte de energía eléctrica proveniente de paneles solares domiciliarios;6,82351705848816e-02;Porcentaje;Sin estándar
ANTOFAGASTA;2101;EA_93;2021;Porcentaje de cobertura de la red de ciclovía sobre la red vial;2,74000000000000e+00;Porcentaje;Sin estándar
ANTOFAGASTA;2101;EA_41;2019;Porcentaje de equipamiento crítico expuesto a inundación por tsunami;7,88000000000000e+00;Porcentaje;Sin estándar
ANTOFAGASTA;2101;IP_6;2018;Porcentaje de inversión pública destinada a proyectos que tienen procesos de intervención de restauración de inmuebles patrimoniales sobre el total de inversión destinada a proyectos con RF;3,35000000000000e+00;Porcentaje;Sin estándar
ANTOFAGASTA;2101;IG_1;2019;Porcentaje de la inversión nacional a escala comunal en la que participa el municipio como institución contratante;1,94700000000000e+01;Porcentaje;Sin estándar
ANTOFAGASTA;2101;IS_37;2019;Porcentaje de la población en situación de pobreza multidimensional;1,65800000000000e+01;Porcentaje;Sin estándar
ANTOFAGASTA;2101;IS_36;2019;Porcentaje de la población en situación de pobreza por ingresos;5,06000000000000e+00;Porcentaje;Sin estándar
ANTOFAGASTA;2101;EA_53a;2020;Porcentaje de la superficie cubierta por vegetación densa;1,90000000000000e-01;Porcentaje;Sin estándar
ANTOFAGASTA;2101;EA_33;2022;Porcentaje de la superficie de campamentos respecto del área urbana;1,19105709089296e+00;Porcentaje;Sin estándar
ANTOFAGASTA;2101;IS_40;2018;Porcentaje de manzanas con veredas con buena calidad de pavimento;3,41600000000000e+01;Porcentaje;100% de veredas en buen estado
ANTOFAGASTA;2101;IG_90;2022;Porcentaje de participación en las elecciones municipales por comuna;3,66718940581983e+01;Porcentaje;Sin estándar
ANTOFAGASTA;2101;BPU_28b;2019;Porcentaje de población atendida por el sistema de parques públicos;9,36700000000000e+01;Porcentaje;Sin estándar
ANTOFAGASTA;2101;BPU_28a;2019;Porcentaje de población atendida por el sistema de plazas públicas;5,40500000000000e+01;Porcentaje;Sin estándar
ANTOFAGASTA;2101;EA_202;2018;Porcentaje de población atendida por la red de ciclovías;4,64000000000000e+01;Porcentaje;Sin estándar
ANTOFAGASTA;2101;EA_48;2018;Porcentaje de población expuesta a inundación por tsunami;1,76000000000000e+00;Porcentaje;Sin estándar
ANTOFAGASTA;2101;EA_36;2022;Porcentaje de residuos municipales valorizados;0,00000000000000e+00;Porcentaje;Sin estándar
ANTOFAGASTA;2101;IS_39;2018;Porcentaje de unidades vecinales de la comuna que tienen entre 20% y 60% de hogares vulnerables;7,33333333333333e+01;Porcentaje;100% de las UUVV de una comuna.
ANTOFAGASTA;2101;DE_204;2021;Porcentaje de viajes originados  inferiores a 5 kilómetros;7,15266570869719e+01;Porcentaje;Sin estándar
ANTOFAGASTA;2101;IS_34;2018;Porcentaje de viviendas con situación de allegamiento externo;4,34000000000000e+00;Porcentaje;Sin estándar
ANTOFAGASTA;2101;IS_33;2018;Porcentaje de viviendas en situación de hacinamiento;7,73000000000000e+00;Porcentaje;Sin estándar
ANTOFAGASTA;2101;IS_31;2018;Porcentaje de viviendas particulares que requieren mejoras de materialidad y/o servicios básicos;1,14700000000000e+01;Porcentaje;Hasta 10%
ANTOFAGASTA;2101;IG_200;2022;Porcentaje de votantes de nacionalidad extranjera en las elecciones municipales;3,19490639551459e+00;Porcentaje;Sin estándar
ANTOFAGASTA;2101;IP_43;2019;Porcentaje de zonas típicas con lineamientos de intervención aprobados;0,00000000000000e+00;Porcentaje;Sin estándar
ANTOFAGASTA;2101;IP_43a;2019;Porcentaje de zonas típicas con lineamientos de intervención en desarrollo;0,00000000000000e+00;Porcentaje;Sin estándar
ANTOFAGASTA;2101;DE_25;2019;Promedio de intersecciones relevantes cada 1,44 km²;1,77600000000000e+01;Número de intersecciones promedio.;Sin estándar
ANTOFAGASTA;2101;DE_200;2019;Proporción de viajes con una duración mayor o igual a 45 minutos;8,83000000000000e+00;Porcentaje;Sin estándar
ANTOFAGASTA;2101;DE_201;2019;Proporción de viajes de estudio y trabajo con una duración mayor o igual a 45 minutos;1,21700000000000e+01;Porcentaje;Sin estándar
ANTOFAGASTA;2101;DE_203;2019;Proporción de viajes totales en transporte privado con una duración mayor o igual a 45 minutos;5,85000000000000e+00;Porcentaje;Sin estándar
ANTOFAGASTA;2101;DE_202;2019;Proporción de viajes totales en transporte público con una duración mayor o igual a 45 minutos;1,82800000000000e+01;Porcentaje;Sin estándar
ANTOFAGASTA;2101;BPU_4;2020;Razón entre disponibilidad efectiva de matrículas y demanda potencial por educación básica;1,24000000000000e+00;Relación (Matrículas / Población);Desde 1
ANTOFAGASTA;2101;DE_33;2019;Relación entre el tiempo de viaje en hora punta respecto del tiempo de viaje fuera de hora punta;1,00000000000000e+00;Relación (Tiempo de viaje PPM / Tiempo de viaje PFP);Sin estándar
ANTOFAGASTA;2101;IS_32;2018;Requerimiento de viviendas nuevas urbanas;1,32400000000000e+04;Número de viviendas;Sin estándar
ANTOFAGASTA;2101;BPU_23;2018;Superficie de parques públicos por habitante que cumple estándar de distancia (3.000 metros);1,03000000000000e+00;m²/hab;Sin estándar
ANTOFAGASTA;2101;BPU_21;2018;Superficie de plazas públicas por habitante que cumple estándar de distancia (400 metros);2,47000000000000e+00;m²/hab;Sin estándar
ANTOFAGASTA;2101;BPU_29;2018;Superficie de áreas verdes públicas por habitante;2,31000000000000e+00;m²/hab;Desde 10 metros cuadrados / habitante
ANTOFAGASTA;2101;BPU_24;2021;Tasa de conexiones residenciales fijas de internet por cada 1.000 viviendas particulares;8,26673138562737e+02;Relación (Conexiones residenciales fijas / 1.000 viviendas particulares);Sin estándar
ANTOFAGASTA;2101;BPU_201;2021;Tasa de conexiones residenciales fijas de internet por cada 100 habitantes;2,27754823477331e+01;Relación (Conexiones residenciales fijas / 100 habs);Sin estándar
ANTOFAGASTA;2101;IS_58b;2022;Tasa de víctimas de delitos contra la propiedad por casos policiales cada 10.000 habitantes;1,44125257203408e+02;Tasa;Sin estándar
ANTOFAGASTA;2101;IS_58c;2022;Tasa de víctimas de delitos violencia intrafamiliar por casos policiales cada 10.000 habitantes;7,97244926156074e+01;Tasa;Sin estándar
ANTOFAGASTA;2101;IS_58a;2022;Tasa de víctimas de delitos violentos por casos policiales cada 10.000 habitantes;1,00300765272915e+02;Tasa;Sin estándar
ANTOFAGASTA;2101;DE_16;2018;Tiempo de viaje en hora punta mañana;4,00000000000000e+01;Min;Hasta 60 minutos
ANTOFAGASTA;2101;DE_29;2018;Tiempo de viaje en transporte público en hora punta mañana;5,50000000000000e+01;Min;Hasta 60 minutos
ANTOFAGASTA;2101;IS_39a;2018;Índice de segregación de la población vulnerable;4,01673870581157e-01;Índice;Sin estándar
